jobId;processingTime;releaseTime;dueDate;preEmptable;weight;cost;profit
1;48;0;0;0;0;0;0
2;42;0;0;0;0;0;0
3;39;0;0;0;0;0;0
4;27;0;0;0;0;0;0
5;26;0;0;0;0;0;0
6;40;0;0;0;0;0;0
7;37;0;0;0;0;0;0
8;23;0;0;0;0;0;0
9;40;0;0;0;0;0;0
10;24;0;0;0;0;0;0
11;44;0;0;0;0;0;0
12;44;0;0;0;0;0;0
13;48;0;0;0;0;0;0
14;30;0;0;0;0;0;0
15;29;0;0;0;0;0;0
16;36;0;0;0;0;0;0
17;38;0;0;0;0;0;0
18;32;0;0;0;0;0;0
19;41;0;0;0;0;0;0
20;46;0;0;0;0;0;0
21;34;0;0;0;0;0;0
22;40;0;0;0;0;0;0
23;42;0;0;0;0;0;0
24;26;0;0;0;0;0;0
25;25;0;0;0;0;0;0
26;19;0;0;0;0;0;0
27;17;0;0;0;0;0;0
28;25;0;0;0;0;0;0
29;39;0;0;0;0;0;0
30;24;0;0;0;0;0;0
31;25;0;0;0;0;0;0
32;20;0;0;0;0;0;0
33;6;0;0;0;0;0;0
34;48;0;0;0;0;0;0
35;19;0;0;0;0;0;0
36;34;0;0;0;0;0;0
37;31;0;0;0;0;0;0
38;14;0;0;0;0;0;0
39;41;0;0;0;0;0;0
40;43;0;0;0;0;0;0
41;45;0;0;0;0;0;0
42;44;0;0;0;0;0;0
43;45;0;0;0;0;0;0
44;16;0;0;0;0;0;0
45;10;0;0;0;0;0;0
46;16;0;0;0;0;0;0
47;43;0;0;0;0;0;0
48;16;0;0;0;0;0;0
49;50;0;0;0;0;0;0
50;24;0;0;0;0;0;0
51;22;0;0;0;0;0;0
52;15;0;0;0;0;0;0
53;42;0;0;0;0;0;0
54;49;0;0;0;0;0;0
55;16;0;0;0;0;0;0
56;47;0;0;0;0;0;0
57;13;0;0;0;0;0;0
58;23;0;0;0;0;0;0
59;31;0;0;0;0;0;0
60;25;0;0;0;0;0;0
61;13;0;0;0;0;0;0
62;5;0;0;0;0;0;0
63;23;0;0;0;0;0;0
64;46;0;0;0;0;0;0
65;43;0;0;0;0;0;0
66;25;0;0;0;0;0;0
67;22;0;0;0;0;0;0
68;37;0;0;0;0;0;0
69;49;0;0;0;0;0;0
70;21;0;0;0;0;0;0
71;41;0;0;0;0;0;0
72;16;0;0;0;0;0;0
73;47;0;0;0;0;0;0
74;49;0;0;0;0;0;0
75;25;0;0;0;0;0;0
76;7;0;0;0;0;0;0
77;3;0;0;0;0;0;0
78;41;0;0;0;0;0;0
79;22;0;0;0;0;0;0
80;31;0;0;0;0;0;0
81;46;0;0;0;0;0;0
82;42;0;0;0;0;0;0
83;23;0;0;0;0;0;0
84;29;0;0;0;0;0;0
85;31;0;0;0;0;0;0
86;49;0;0;0;0;0;0
87;8;0;0;0;0;0;0
88;19;0;0;0;0;0;0
89;37;0;0;0;0;0;0
90;10;0;0;0;0;0;0
91;35;0;0;0;0;0;0
92;27;0;0;0;0;0;0
93;9;0;0;0;0;0;0
94;16;0;0;0;0;0;0
95;16;0;0;0;0;0;0
96;34;0;0;0;0;0;0
97;3;0;0;0;0;0;0
98;32;0;0;0;0;0;0
99;4;0;0;0;0;0;0
100;18;0;0;0;0;0;0
;;;;;;;
;2952;;;;;;
