jobId;processingTime;releaseTime;dueDate;preEmptable;weight;cost;profit
1;6;0;0;0;0;0;0
2;19;0;0;0;0;0;0
3;15;0;0;0;0;0;0
4;7;0;0;0;0;0;0
5;6;0;0;0;0;0;0
6;4;0;0;0;0;0;0
7;13;0;0;0;0;0;0
8;3;0;0;0;0;0;0
9;19;0;0;0;0;0;0
10;8;0;0;0;0;0;0
11;17;0;0;0;0;0;0
12;14;0;0;0;0;0;0
13;6;0;0;0;0;0;0
14;17;0;0;0;0;0;0
15;14;0;0;0;0;0;0
16;6;0;0;0;0;0;0
17;10;0;0;0;0;0;0
18;8;0;0;0;0;0;0
19;7;0;0;0;0;0;0
20;4;0;0;0;0;0;0
21;8;0;0;0;0;0;0
22;12;0;0;0;0;0;0
23;5;0;0;0;0;0;0
24;13;0;0;0;0;0;0
25;16;0;0;0;0;0;0
26;4;0;0;0;0;0;0
27;19;0;0;0;0;0;0
28;12;0;0;0;0;0;0
29;15;0;0;0;0;0;0
30;19;0;0;0;0;0;0
31;18;0;0;0;0;0;0
32;13;0;0;0;0;0;0
33;12;0;0;0;0;0;0
34;15;0;0;0;0;0;0
35;17;0;0;0;0;0;0
36;10;0;0;0;0;0;0
37;16;0;0;0;0;0;0
38;4;0;0;0;0;0;0
39;2;0;0;0;0;0;0
40;11;0;0;0;0;0;0
41;16;0;0;0;0;0;0
42;9;0;0;0;0;0;0
43;11;0;0;0;0;0;0
44;16;0;0;0;0;0;0
45;3;0;0;0;0;0;0
46;11;0;0;0;0;0;0
47;11;0;0;0;0;0;0
48;9;0;0;0;0;0;0
49;18;0;0;0;0;0;0
50;5;0;0;0;0;0;0
51;2;0;0;0;0;0;0
52;18;0;0;0;0;0;0
53;8;0;0;0;0;0;0
54;10;0;0;0;0;0;0
55;8;0;0;0;0;0;0
56;17;0;0;0;0;0;0
57;17;0;0;0;0;0;0
58;18;0;0;0;0;0;0
59;8;0;0;0;0;0;0
60;5;0;0;0;0;0;0
61;14;0;0;0;0;0;0
62;15;0;0;0;0;0;0
63;3;0;0;0;0;0;0
64;8;0;0;0;0;0;0
65;9;0;0;0;0;0;0
66;16;0;0;0;0;0;0
67;10;0;0;0;0;0;0
68;20;0;0;0;0;0;0
69;4;0;0;0;0;0;0
70;19;0;0;0;0;0;0
71;16;0;0;0;0;0;0
72;5;0;0;0;0;0;0
73;6;0;0;0;0;0;0
74;7;0;0;0;0;0;0
75;4;0;0;0;0;0;0
76;10;0;0;0;0;0;0
77;8;0;0;0;0;0;0
78;15;0;0;0;0;0;0
79;15;0;0;0;0;0;0
80;2;0;0;0;0;0;0
81;2;0;0;0;0;0;0
82;12;0;0;0;0;0;0
83;20;0;0;0;0;0;0
84;7;0;0;0;0;0;0
85;11;0;0;0;0;0;0
86;6;0;0;0;0;0;0
87;11;0;0;0;0;0;0
88;20;0;0;0;0;0;0
89;9;0;0;0;0;0;0
90;11;0;0;0;0;0;0
91;20;0;0;0;0;0;0
92;17;0;0;0;0;0;0
93;14;0;0;0;0;0;0
94;9;0;0;0;0;0;0
95;14;0;0;0;0;0;0
96;17;0;0;0;0;0;0
97;16;0;0;0;0;0;0
98;15;0;0;0;0;0;0
99;4;0;0;0;0;0;0
100;7;0;0;0;0;0;0
